Palabra(s),Tema,Video1,Video2,Video3
A,Abecedario,https://youtu.be/rxlY_kT_u68,https://youtu.be/rxlY_kT_u68,https://youtu.be/rxlY_kT_u68
B,Abecedario,https://youtu.be/rxlY_kT_u68,,
C,Abecedario,https://youtu.be/rxlY_kT_u68,,
D,Abecedario,https://youtu.be/rxlY_kT_u68,,
E,Abecedario,https://youtu.be/rxlY_kT_u68,,
F,Abecedario,https://youtu.be/rxlY_kT_u68,,
G,Abecedario,https://youtu.be/rxlY_kT_u68,,
H,Abecedario,https://youtu.be/rxlY_kT_u68,,
I,Abecedario,https://youtu.be/rxlY_kT_u68,https://youtu.be/rxlY_kT_u68,
J,Abecedario,https://youtu.be/rxlY_kT_u68,,
K,Abecedario,https://youtu.be/rxlY_kT_u68,,
L,Abecedario,https://youtu.be/rxlY_kT_u68,,
LL,Abecedario,https://youtu.be/rxlY_kT_u68,,
M,Abecedario,https://youtu.be/rxlY_kT_u68,,
N,Abecedario,https://youtu.be/rxlY_kT_u68,,
Ñ,Abecedario,https://youtu.be/rxlY_kT_u68,,
O,Abecedario,https://youtu.be/rxlY_kT_u68,https://youtu.be/rxlY_kT_u68,
P,Abecedario,https://youtu.be/rxlY_kT_u68,,
Q,Abecedario,https://youtu.be/rxlY_kT_u68,,
R,Abecedario,https://youtu.be/rxlY_kT_u68,,
S,Abecedario,https://youtu.be/rxlY_kT_u68,,
T,Abecedario,https://youtu.be/rxlY_kT_u68,,
U,Abecedario,https://youtu.be/rxlY_kT_u68,,
V,Abecedario,https://youtu.be/rxlY_kT_u68,,
W,Abecedario,https://youtu.be/rxlY_kT_u68,,
X,Abecedario,https://youtu.be/rxlY_kT_u68,,
Y,Abecedario,https://youtu.be/rxlY_kT_u68,,
Z,Abecedario,https://youtu.be/rxlY_kT_u68,,
Hola,Saludos,https://youtu.be/ILxmuiSDjgU,https://youtu.be/JMQnWmiPyoE,
¿Cómo estás?,Saludos,https://youtu.be/rxlY_kT_u68,,
¿Qué pasó?,Saludos,https://youtu.be/rxlY_kT_u68,,
Bien,Saludos,https://youtu.be/rxlY_kT_u68,,
Mal,Saludos,https://youtu.be/rxlY_kT_u68,,
Gusto en conocerte,Saludos,https://youtu.be/rxlY_kT_u68,,
Nos vemos,Saludos,https://youtu.be/rxlY_kT_u68,,
Cuídate,Saludos,https://youtu.be/rxlY_kT_u68,,
¿Qué?,Preguntas,https://youtu.be/rxlY_kT_u68,,
¿Cómo?,Preguntas,https://youtu.be/rxlY_kT_u68,,
¿Cuándo?,Preguntas,https://youtu.be/rxlY_kT_u68,,
¿Dónde?,Preguntas,https://youtu.be/rxlY_kT_u68,https://youtu.be/rxlY_kT_u68,https://youtu.be/rxlY_kT_u68
¿Quién?,Preguntas,https://youtu.be/rxlY_kT_u68,,
¿Por qué?,Preguntas,https://youtu.be/rxlY_kT_u68,,
¿Cuántos?,Preguntas,https://youtu.be/rxlY_kT_u68,,
¿Cuáles?,Preguntas,https://youtu.be/rxlY_kT_u68,,
Mamá/Madre,Familia,https://youtu.be/rxlY_kT_u68,,
Papá/Padre,Familia,https://youtu.be/rxlY_kT_u68,,
Hijo,Familia,https://youtu.be/rxlY_kT_u68,https://youtu.be/rxlY_kT_u68,
Hija,Familia,https://youtu.be/rxlY_kT_u68,,
Hermana,Familia,https://youtu.be/rxlY_kT_u68,,
Hermano,Familia,https://youtu.be/rxlY_kT_u68,,
Prima,Familia,https://youtu.be/rxlY_kT_u68,,
Primo,Familia,https://youtu.be/rxlY_kT_u68,,
Abuela,Familia,https://youtu.be/rxlY_kT_u68,,
Abuelo,Familia,https://youtu.be/rxlY_kT_u68,,
Tío,Familia,https://youtu.be/rxlY_kT_u68,,
Tía,Familia,https://youtu.be/rxlY_kT_u68,,
Nieto,Familia,https://youtu.be/rxlY_kT_u68,,
Nieta,Familia,https://youtu.be/rxlY_kT_u68,,
Querer,Verbos,https://youtu.be/Fcg0KgTHiiM,,
Casa,Lugar,https://youtu.be/rxlY_kT_u68,https://youtu.be/rxlY_kT_u68,
